period,n_total,f_statistic,vintage,vintage_month,current_holdings,next_q_holdings,expected_change_pct,expected_direction
2021-12,16,-0.7142857142857143,DEC21,2021-12,4909.855,5154.308999999999,4.978843570736808,increase
2022-01,24,-1.0,JAN22,2022-01,5096.233,5216.233,2.3546804080582655,increase
2022-03,15,-0.6,MAR22,2022-03,5095.4,5185.433,1.7669466577697603,increase
2022-04,20,-1.0,APR22,2022-04,5070.4445,5160.3445,1.773020097153229,increase
2022-06,41,-0.2,JUN22,2022-06,5156.38,5156.625,0.004751395358757323,increase
2022-07,36,-0.5714285714285714,JUL22,2022-07,5156.557,5156.557,0.0,decrease
2022-09,26,-1.0,SEP22,2022-09,5154.508,5154.508,0.0,decrease
2022-10,22,-1.0,OCT22,2022-10,5147.0,5147.0,0.0,decrease
2022-12,24,-1.0,DEC22,2022-12,5147.0,5147.0,0.0,decrease
2023-02,20,-1.0,FEB23,2023-02,5133.0,5088.0,-0.8766803039158386,decrease
2023-03,24,-1.0,MAR23,2023-03,5133.0,5088.0,-0.8766803039158386,decrease
2023-06,23,-1.0,JUN23,2023-06,5086.0,5016.0,-1.376327172630751,decrease
2023-07,14,-1.0,JUL23,2023-07,5016.0,4937.0,-1.5749601275917064,decrease
2023-09,16,-0.6,SEP23,2023-09,5016.0,4937.0,-1.5749601275917064,decrease
2023-10,18,-0.5,OCT23,2023-10,4936.0,4846.0,-1.8233387358184763,decrease
2023-12,16,-1.0,DEC23,2023-12,4935.0,4846.0,-1.8034447821681863,decrease
2024-01,12,-1.0,JAN24,2024-01,4847.0,4753.0,-1.9393439240767485,decrease
2024-03,38,-0.5,MAR24,2024-03,4847.0,4753.0,-1.9393439240767485,decrease
2024-04,27,-0.5,APR24,2024-04,4847.0,4753.0,-1.9393439240767485,decrease
2024-06,32,-1.0,JUN24,2024-06,4753.0,4660.0,-1.95665895224069,decrease
2024-07,22,-1.0,JUL24,2024-07,4753.0,4660.0,-1.95665895224069,decrease
2024-09,20,-0.3333333333333333,SEP24,2024-09,4659.0,4556.0,-2.2107748443872075,decrease
2024-10,28,0.2,OCT24,2024-10,4659.0,4556.0,-2.2107748443872075,decrease
2024-12,28,-0.5,DEC24,2024-12,4558.0,4411.0,-3.2250987275120666,decrease
2025-03,24,-0.6666666666666666,MAR25,2025-03,4402.0,4265.0,-3.112221717401181,decrease
2025-06,47,-0.42857142857142855,JUN25,2025-06,4256.0,4154.0,-2.3966165413533833,decrease
2025-07,24,-1.0,JUL25,2025-07,4255.0,4154.0,-2.3736780258519388,decrease
2025-09,46,-0.2,SEP25,2025-09,4153.0,4039.0,-2.7450036118468577,decrease
2025-12,47,-0.3333333333333333,DEC25,2025-12,4038.0,3899.0,-3.442298167409609,decrease
